Part Name,Supplier,Usage,Quantity,Price / Qnt (€),Price / Qnt ($),Total Price ($),Link,Other (ie LCSC Part)
U3,JLCPCB / LCSC,PCB Part,1.00,-,$0.65,$0.65,https://lcsc.com,C347197
Y1,JLCPCB / LCSC,PCB Part,1.00,-,$0.98,$0.98,https://lcsc.com,C41361468
"R1,R8",JLCPCB / LCSC,PCB Part,2.00,-,$0.10,$0.20,https://lcsc.com,C22978
C12,JLCPCB / LCSC,PCB Part,1.00,-,$0.24,$0.24,https://lcsc.com,C70225
U4,JLCPCB / LCSC,PCB Part,1.00,-,$0.70,$0.70,https://lcsc.com,
PCB,JLCPCB / LCSC,PCB,0.50,-,$14.00,$7.00,https://jlcpcb.com,
PCB ASSEMBLY,JLCPCB / LCSC,PCB,0.50,-,$15.14,$7.57,https://jlcpcb.com,
,,,,,,,,
SHIPPING,Grobotronics,SHIPPING,,€1.50,$1.71,,,
,JLCPCB / LCSC,,,-,$10.00,,,
TAXES,MOUSER,,,€35.45,$40.81,,,
,,,,,,,,
TOTAL / UNIT,,,,,,$125.63,,
QNT,,,,,,2.00,,
TOTAL,,,,,,$262.97,,
